token,exchange_token,symbol,name,last_price,expiry,strike,tick_size,lot_size,instrument_type,segment,exchange,days_to_expiry
13238786,51714,NIFTY26MARFUT,NIFTY,0.0,2026-03-30,0.0,0.1,65,FUT,NFO-FUT,NFO,19.0
17072898,66691,NIFTY26APRFUT,NIFTY,0.0,2026-04-28,0.0,0.1,65,FUT,NFO-FUT,NFO,40.0
16914178,66071,NIFTY26MAYFUT,NIFTY,0.0,2026-05-26,0.0,0.1,65,FUT,NFO-FUT,NFO,60.0
13235458,51701,BANKNIFTY26MARFUT,BANKNIFTY,0.0,2026-03-30,0.0,0.2,30,FUT,NFO-FUT,NFO,19.0
17072130,66688,BANKNIFTY26APRFUT,BANKNIFTY,0.0,2026-04-28,0.0,0.2,30,FUT,NFO-FUT,NFO,40.0
16913410,66068,BANKNIFTY26MAYFUT,BANKNIFTY,0.0,2026-05-26,0.0,0.2,30,FUT,NFO-FUT,NFO,60.0
13240834,51722,360ONE26MARFUT,360ONE,0.0,2026-03-30,0.0,0.1,500,FUT,NFO-FUT,NFO,19.0
17073410,66693,360ONE26APRFUT,360ONE,0.0,2026-04-28,0.0,0.1,500,FUT,NFO-FUT,NFO,40.0
16914690,66073,360ONE26MAYFUT,360ONE,0.0,2026-05-26,0.0,0.1,500,FUT,NFO-FUT,NFO,60.0
13241090,51723,ABB26MARFUT,ABB,0.0,2026-03-30,0.0,0.5,125,FUT,NFO-FUT,NFO,19.0
17073666,66694,ABB26APRFUT,ABB,0.0,2026-04-28,0.0,0.5,125,FUT,NFO-FUT,NFO,40.0
16914946,66074,ABB26MAYFUT,ABB,0.0,2026-05-26,0.0,0.5,125,FUT,NFO-FUT,NFO,60.0
13241346,51724,ABCAPITAL26MARFUT,ABCAPITAL,0.0,2026-03-30,0.0,0.05,3100,FUT,NFO-FUT,NFO,19.0
17073922,66695,ABCAPITAL26APRFUT,ABCAPITAL,0.0,2026-04-28,0.0,0.05,3100,FUT,NFO-FUT,NFO,40.0
16915202,66075,ABCAPITAL26MAYFUT,ABCAPITAL,0.0,2026-05-26,0.0,0.05,3100,FUT,NFO-FUT,NFO,60.0
13241602,51725,ADANIENSOL26MARFUT,ADANIENSOL,0.0,2026-03-30,0.0,0.1,675,FUT,NFO-FUT,NFO,19.0
17074178,66696,ADANIENSOL26APRFUT,ADANIENSOL,0.0,2026-04-28,0.0,0.1,675,FUT,NFO-FUT,NFO,40.0
16915458,66076,ADANIENSOL26MAYFUT,ADANIENSOL,0.0,2026-05-26,0.0,0.1,675,FUT,NFO-FUT,NFO,60.0
