token,exchange_token,symbol,name,last_price,expiry,strike,tick_size,lot_size,instrument_type,segment,exchange,days_to_expiry
298595077,1166387,BANKEX26FEBFUT,BANKEX,0.0,2026-02-26,0.0,0.05,30,FUT,BFO-FUT,BFO,9.0
211574533,826463,BANKEX26MARFUT,BANKEX,0.0,2026-03-25,0.0,0.05,30,FUT,BFO-FUT,BFO,28.0
218528261,853626,BANKEX26APRFUT,BANKEX,0.0,2026-04-30,0.0,0.05,30,FUT,BFO-FUT,BFO,54.0
298364421,1165486,SENSEX26FEBFUT,SENSEX,0.0,2026-02-26,0.0,0.05,20,FUT,BFO-FUT,BFO,9.0
211344645,825565,SENSEX26MARFUT,SENSEX,0.0,2026-03-25,0.0,0.05,20,FUT,BFO-FUT,BFO,28.0
218263557,852592,SENSEX26APRFUT,SENSEX,0.0,2026-04-30,0.0,0.05,20,FUT,BFO-FUT,BFO,54.0
297558533,1162338,SENSEX5026FEBFUT,SENSEX50,0.0,2026-02-26,0.0,0.05,75,FUT,BFO-FUT,BFO,9.0
212559877,830312,SENSEX5026MARFUT,SENSEX50,0.0,2026-03-25,0.0,0.05,75,FUT,BFO-FUT,BFO,28.0
217409797,849257,SENSEX5026APRFUT,SENSEX50,0.0,2026-04-30,0.0,0.05,75,FUT,BFO-FUT,BFO,54.0
298036485,1164205,BANKEX26FEB67500CE,BANKEX,0.0,2026-02-26,67500.0,0.05,30,CE,BFO-OPT,BFO,9.0
298449669,1165819,BANKEX26FEB67500PE,BANKEX,0.0,2026-02-26,67500.0,0.05,30,PE,BFO-OPT,BFO,9.0
297424133,1161813,BANKEX26FEB67400CE,BANKEX,0.0,2026-02-26,67400.0,0.05,30,CE,BFO-OPT,BFO,9.0
297844229,1163454,BANKEX26FEB67400PE,BANKEX,0.0,2026-02-26,67400.0,0.05,30,PE,BFO-OPT,BFO,9.0
297546501,1162291,BANKEX26FEB67600CE,BANKEX,0.0,2026-02-26,67600.0,0.05,30,CE,BFO-OPT,BFO,9.0
297966597,1163932,BANKEX26FEB67600PE,BANKEX,0.0,2026-02-26,67600.0,0.05,30,PE,BFO-OPT,BFO,9.0
297910021,1163711,BANKEX26FEB67300CE,BANKEX,0.0,2026-02-26,67300.0,0.05,30,CE,BFO-OPT,BFO,9.0
298324229,1165329,BANKEX26FEB67300PE,BANKEX,0.0,2026-02-26,67300.0,0.05,30,PE,BFO-OPT,BFO,9.0
298148613,1164643,BANKEX26FEB67700CE,BANKEX,0.0,2026-02-26,67700.0,0.05,30,CE,BFO-OPT,BFO,9.0
298563077,1166262,BANKEX26FEB67700PE,BANKEX,0.0,2026-02-26,67700.0,0.05,30,PE,BFO-OPT,BFO,9.0
297712645,1162940,BANKEX26FEB67200PE,BANKEX,0.0,2026-02-26,67200.0,0.05,30,PE,BFO-OPT,BFO,9.0
298393349,1165599,BANKEX26FEB67200CE,BANKEX,0.0,2026-02-26,67200.0,0.05,30,CE,BFO-OPT,BFO,9.0
297670917,1162777,BANKEX26FEB67800CE,BANKEX,0.0,2026-02-26,67800.0,0.05,30,CE,BFO-OPT,BFO,9.0
298090501,1164416,BANKEX26FEB67800PE,BANKEX,0.0,2026-02-26,67800.0,0.05,30,PE,BFO-OPT,BFO,9.0
297784581,1163221,BANKEX26FEB67100CE,BANKEX,0.0,2026-02-26,67100.0,0.05,30,CE,BFO-OPT,BFO,9.0
298190341,1164806,BANKEX26FEB67100PE,BANKEX,0.0,2026-02-26,67100.0,0.05,30,PE,BFO-OPT,BFO,9.0
297604357,1162517,BANKEX26FEB67900PE,BANKEX,0.0,2026-02-26,67900.0,0.05,30,PE,BFO-OPT,BFO,9.0
298277125,1165145,BANKEX26FEB67900CE,BANKEX,0.0,2026-02-26,67900.0,0.05,30,CE,BFO-OPT,BFO,9.0
298262789,1165089,BANKEX26FEB67000CE,BANKEX,0.0,2026-02-26,67000.0,0.05,30,CE,BFO-OPT,BFO,9.0
298667781,1166671,BANKEX26FEB67000PE,BANKEX,0.0,2026-02-26,67000.0,0.05,30,PE,BFO-OPT,BFO,9.0
297464581,1161971,BANKEX26FEB68000CE,BANKEX,0.0,2026-02-26,68000.0,0.05,30,CE,BFO-OPT,BFO,9.0
298736645,1166940,BANKEX26FEB68000PE,BANKEX,0.0,2026-02-26,68000.0,0.05,30,PE,BFO-OPT,BFO,9.0
297532421,1162236,BANKEX26FEB66900PE,BANKEX,0.0,2026-02-26,66900.0,0.05,30,PE,BFO-OPT,BFO,9.0
299042309,1168134,BANKEX26FEB66900CE,BANKEX,0.0,2026-02-26,66900.0,0.05,30,CE,BFO-OPT,BFO,9.0
297403653,1161733,BANKEX26FEB68100PE,BANKEX,0.0,2026-02-26,68100.0,0.05,30,PE,BFO-OPT,BFO,9.0
298919429,1167654,BANKEX26FEB68100CE,BANKEX,0.0,2026-02-26,68100.0,0.05,30,CE,BFO-OPT,BFO,9.0
298471685,1165905,BANKEX26FEB66800CE,BANKEX,0.0,2026-02-26,66800.0,0.05,30,CE,BFO-OPT,BFO,9.0
